tempo,SP,PV,MV
13100,80,81.929184,0
13101,80,81.929184,0
13102,80,81.929184,0
13103,80,81.929184,0
13104,80,81.269844,0.058207
13105,80,81.269844,0.116414
13106,80,81.269844,0.116414
13107,80,81.269844,0.116414
13108,80,80.830284,0.116414
13109,80,80.390724,0.116414
13110,80,80.390724,0.116414
13111,80,80.390724,0.316104
13112,80,80.390724,0.515794
13113,80,80.0244215,0.515794
13114,80,79.658119,0.515794
13115,80,79.658119,0.515794
13116,80,79.658119,0.515794
13117,80,79.3162385,0.9287595
13118,80,78.974358,1.341725
13119,80,78.974358,1.341725
13120,80,78.974358,1.341725
13121,80,78.608059,1.341725
13122,80,78.24176,1.341725
13123,80,78.24176,2.0374575
13124,80,78.24176,2.73319
13125,80,78.24176,2.73319
13126,80,77.85104,2.73319
13127,80,77.46032,2.73319
13128,80,77.46032,2.73319
13129,80,77.46032,2.73319
13130,80,76.9841275,3.9281685
13131,80,76.507935,5.123147
13132,80,76.507935,5.123147
13133,80,76.507935,5.123147
13134,80,76.2271045,5.123147
13135,80,75.946274,5.123147
13136,80,75.946274,6.361438
13137,80,75.946274,7.599729
13138,80,75.946274,7.599729
13139,80,75.592186,7.599729
13140,80,75.238098,7.599729
13141,80,75.238098,7.599729
13142,80,75.238098,9.0129155
13143,80,75.238098,10.426102
13144,80,74.8473775,10.426102
13145,80,74.456657,10.426102
13146,80,74.456657,10.426102
13147,80,74.456657,10.426102
13148,80,74.2124555,12.309923
13149,80,73.968254,14.193744
13150,80,73.968254,14.193744
13151,80,73.968254,14.193744
13152,80,73.6874235,14.193744
13153,80,73.406593,14.193744
13154,80,73.406593,15.9670675
13155,80,73.406593,17.740391
13156,80,73.406593,17.740391
13157,80,73.1379735,17.740391
13158,80,72.869354,17.740391
13159,80,72.869354,17.740391
13160,80,72.869354,19.79257
13161,80,72.6129455,21.844749
13162,80,72.356537,21.844749
13163,80,72.356537,21.844749
13164,80,72.356537,21.844749
13165,80,72.356537,21.844749
13166,80,72.271065,24.1652325
13167,80,72.185593,26.485716
13168,80,72.185593,26.485716
13169,80,72.185593,26.485716
13170,80,72.039074,26.485716
13171,80,71.892555,26.485716
13172,80,71.892555,28.5160055
13173,80,71.892555,30.546295
13174,80,71.7704545,30.546295
13175,80,71.648354,30.546295
13176,80,71.648354,30.546295
13177,80,71.648354,30.546295
