tempo,SP,PV,MV
12200,80,70.769234,41.875006
12201,80,70.769234,44.314381
12202,80,70.7936515,44.314381
12203,80,70.818069,44.314381
12204,80,70.818069,44.314381
12205,80,70.818069,44.314381
12206,80,70.83028,44.314381
12207,80,70.842491,47.031702
12208,80,70.842491,49.749023
12209,80,70.842491,49.749023
12210,80,70.842491,49.749023
12211,80,71.2454225,49.749023
12212,80,71.648354,49.749023
12213,80,71.648354,51.6255835
12214,80,71.648354,53.502144
12215,80,71.648354,53.502144
12216,80,72.0879135,53.502144
12217,80,72.527473,53.502144
12218,80,72.527473,53.502144
12219,80,72.527473,55.064991
12220,80,72.527473,56.627838
12221,80,72.9181935,56.627838
12222,80,73.308914,56.627838
12223,80,73.308914,56.627838
12224,80,73.308914,56.627838
12225,80,73.736263,57.982481
12226,80,74.163612,59.337124
12227,80,74.163612,59.337124
12228,80,74.163612,59.337124
12229,80,74.163612,59.337124
12230,80,75.433456,59.337124
12231,80,75.433456,60.1882
12232,80,75.433456,61.039276
12233,80,75.433456,61.039276
12234,80,75.9218555,61.039276
12235,80,76.410255,61.039276
12236,80,76.410255,61.039276
12237,80,76.410255,61.4920805
12238,80,76.410255,61.944885
12239,80,77.045177,61.944885
12240,80,77.680099,61.944885
12241,80,77.680099,61.944885
12242,80,77.680099,61.944885
12243,80,78.2783885,61.944885
12244,80,78.876678,61.9930705
12245,80,78.876678,62.041256
12246,80,78.876678,62.041256
12247,80,78.876678,62.041256
12248,80,79.536018,62.041256
12249,80,80.195358,61.6393375
12250,80,80.195358,61.237419
12251,80,80.195358,61.237419
12252,80,80.732601,61.237419
12253,80,81.269844,61.237419
12254,80,81.269844,61.237419
12255,80,81.269844,60.4669265
12256,80,81.269844,59.696434
12257,80,81.819294,59.696434
12258,80,82.368744,59.696434
12259,80,82.368744,59.696434
12260,80,82.368744,59.696434
12261,80,82.905983,59.696434
12262,80,83.443222,58.3215045
12263,80,83.443222,56.946575
12264,80,83.443222,56.946575
12265,80,84.0537225,56.946575
12266,80,84.664223,56.946575
12267,80,84.664223,56.946575
12268,80,84.664223,55.4188595
12269,80,84.664223,53.891144
12270,80,85.274727,53.891144
12271,80,85.885231,53.891144
12272,80,85.885231,53.891144
12273,80,85.885231,53.891144
12274,80,85.885231,51.873661
12275,80,86.446888,49.856178
12276,80,87.008545,49.856178
12277,80,87.008545,49.856178
12278,80,87.008545,49.856178
12279,80,87.3992655,49.856178
12280,80,87.789986,47.541437
12281,80,87.789986,45.226696
12282,80,87.789986,45.226696
12283,80,88.1196595,45.226696
12284,80,88.449333,45.226696
12285,80,88.449333,45.226696
12286,80,88.449333,42.692009
12287,80,88.449333,40.157322
12288,80,88.8644715,40.157322
12289,80,89.27961,40.157322
12290,80,89.27961,40.157322
12291,80,89.27961,40.157322
12292,80,89.27961,37.5436765
12293,80,89.5116005,34.930031
12294,80,89.743591,34.930031
12295,80,89.743591,34.930031
12296,80,89.743591,34.930031
12297,80,89.853481,34.930031
12298,80,89.963371,34.930031
12299,80,89.963371,31.7403115
12300,80,89.963371,28.550592
12301,80,90.0610505,28.550592
12302,80,90.15873,28.550592
12303,80,90.15873,28.550592
12304,80,90.15873,28.550592
12305,80,90.15873,26.0253425
12306,80,90.122101,23.500093
