tempo,SP,PV,MV
5001,80,85.006104,73.248726
5002,80,85.909645,73.248726
5003,80,85.909645,73.248726
5004,80,85.909645,71.238537
5005,80,86.239315,69.228348
5006,80,86.568985,69.228348
5007,80,86.568985,69.228348
5008,80,86.568985,69.228348
5009,80,86.568985,69.228348
5010,80,87.0695955,67.2419815
5011,80,87.570206,65.255615
5012,80,87.570206,65.255615
5013,80,87.570206,65.255615
5014,80,87.570206,65.255615
5015,80,87.9365085,65.255615
5016,80,88.302811,65.255615
5017,80,88.302811,62.732269
5018,80,88.302811,60.208923
5019,80,88.693531,60.208923
5020,80,89.084251,60.208923
5021,80,89.084251,60.208923
5022,80,89.084251,60.208923
5023,80,89.328453,60.208923
5024,80,89.572655,57.133825
5025,80,89.572655,54.058727
5026,80,89.572655,54.058727
5027,80,89.572655,54.058727
5028,80,89.890114,54.058727
5029,80,90.207573,51.556793
5030,80,90.207573,49.054859
5032,80,90.207573,49.054859
5033,80,90.402931,49.054859
5034,80,90.598289,49.054859
5035,80,90.598289,45.977665
5036,80,90.598289,42.900471
5037,80,90.818069,42.900471
5038,80,91.037849,42.900471
5039,80,91.037849,42.900471
5040,80,91.037849,42.900471
5041,80,91.037849,40.133177
5042,80,91.037849,37.365883
5043,80,91.037849,37.365883
5044,80,91.037849,37.365883
5045,80,91.037849,37.365883
5046,80,91.1111105,37.365883
5047,80,91.184372,34.392852
5048,80,91.184372,31.419821
5049,80,91.184372,31.419821
5050,80,91.184372,31.419821
5051,80,91.172161,31.419821
5052,80,91.15995,31.419821
5053,80,91.15995,31.419821
5054,80,91.15995,28.1445325
5055,80,91.15995,24.869244
5056,80,91.037853,24.869244
5057,80,90.915756,24.869244
5058,80,90.915756,24.869244
5059,80,90.915756,24.869244
5060,80,90.915756,22.3473085
5061,80,90.6349255,19.825373
5062,80,90.354095,19.825373
5063,80,90.354095,19.825373
5064,80,90.354095,19.825373
5065,80,90.1465225,19.825373
5066,80,89.93895,17.4490515
5067,80,89.93895,15.07273
5068,80,89.93895,15.07273
5069,80,89.93895,15.07273
5070,80,89.6337015,15.07273
5071,80,89.328453,15.07273
5072,80,89.328453,15.07273
5073,80,89.328453,12.6391515
5074,80,88.9743615,10.205573
5075,80,88.62027,10.205573
5076,80,88.62027,10.205573
5077,80,88.62027,10.205573
5078,80,88.62027,8.4480475
5079,80,88.168499,6.690522
5080,80,87.716728,6.690522
5081,80,87.716728,6.690522
5082,80,87.716728,6.690522
5083,80,87.387058,6.690522
5084,80,87.057388,6.690522
5085,80,87.057388,5.0504115
5086,80,87.057388,3.410301
5087,80,87.057388,3.410301
5088,80,86.4590985,3.410301
5089,80,85.860809,3.410301
5090,80,85.860809,3.410301
5092,80,85.860809,1.063265
5093,80,84.981689,1.063265
5094,80,84.981689,1.063265
5095,80,84.981689,1.063265
5096,80,84.981689,1.063265
5097,80,84.4078175,0.5316325
5098,80,83.833946,0
5099,80,83.833946,0
5100,80,83.833946,0
5101,80,83.333336,0
5102,80,82.832726,0
5103,80,82.832726,0
5104,80,82.832726,0
5105,80,82.832726,0
5106,80,82.271065,0
5107,80,81.709404,0
5108,80,81.709404,0
5109,80,81.709404,0
5110,80,81.172161,0.1161705
5111,80,80.634918,0.232341
5112,80,80.634918,0.232341
5113,80,80.634918,0.232341
5114,80,80.634918,0.232341
5115,80,80.134308,0.232341
5116,80,79.633698,0.7052905
5117,80,79.633698,1.17824
5118,80,79.633698,1.17824
5119,80,79.1086695,1.17824
5120,80,78.583641,1.17824
5122,80,78.583641,1.17824
5123,80,78.583641,2.699496
5124,80,78.034191,2.699496
5125,80,77.484741,2.699496
5126,80,77.484741,2.699496
5127,80,77.484741,2.699496
5128,80,76.9108695,2.699496
5129,80,76.336998,4.031746
5130,80,76.336998,5.363996
5131,80,76.336998,5.363996
5132,80,76.336998,5.363996
5133,80,75.799759,5.363996
5134,80,75.26252,5.363996
5135,80,75.26252,6.8567465
5136,80,75.26252,8.349497
5137,80,74.810749,8.349497
5138,80,74.358978,8.349497
5139,80,74.358978,8.349497
5140,80,74.358978,8.349497
5141,80,74.358978,10.3412175
5142,80,73.7851065,12.332938
5143,80,73.211235,12.332938
5144,80,73.211235,12.332938
5145,80,73.211235,12.332938
5146,80,72.7472535,12.332938
5147,80,72.283272,12.332938
5148,80,72.283272,15.0141665
5149,80,72.283272,17.695395
5150,80,72.283272,17.695395
5151,80,71.807083,17.695395
5152,80,71.330894,17.695395
5153,80,71.330894,17.695395
5154,80,71.330894,20.122245
5155,80,71.050064,22.549095
5156,80,70.769234,22.549095
5157,80,70.769234,22.549095
5158,80,70.769234,22.549095
5159,80,70.769234,25.135085
5160,80,70.341881,27.721075
5161,80,69.914528,27.721075
5162,80,69.914528,27.721075
5163,80,69.914528,27.721075
5164,80,69.6581195,27.721075
5165,80,69.401711,27.721075
5166,80,69.401711,30.9478425
5167,80,69.401711,34.17461
5168,80,69.401711,34.17461
5169,80,69.1086695,34.17461
5170,80,68.815628,34.17461
5171,80,68.815628,34.17461
5172,80,68.815628,36.9319455
5173,80,68.68132,39.689281
5174,80,68.547012,39.689281
5175,80,68.547012,39.689281
5176,80,68.547012,39.689281
5177,80,68.547012,39.689281
5178,80,68.4127005,42.8379265
5179,80,68.278389,45.986572
5180,80,68.278389,45.986572
5181,80,68.278389,45.986572
5183,80,68.327232,45.986572
5184,80,68.327232,49.229141
5185,80,68.327232,52.47171
5186,80,68.327232,52.47171
5187,80,68.5225905,52.47171
5188,80,68.717949,52.47171
5189,80,68.717949,52.47171
