tempo,SP,PV,MV
2000,80,70.793655,42.088314
2001,80,70.915752,42.088314
2002,80,71.037849,44.440798
2003,80,71.037849,46.793282
2004,80,71.037849,46.793282
2005,80,71.037849,46.793282
2006,80,71.135532,46.793282
2007,80,71.233215,46.793282
2008,80,71.233215,49.1965925
2009,80,71.233215,51.599903
2010,80,71.233215,51.599903
2011,80,71.709404,51.599903
2012,80,72.185593,51.599903
2013,80,72.185593,51.599903
2014,80,72.185593,53.080099
2015,80,72.185593,54.560295
2016,80,72.551895,54.560295
2017,80,72.551895,54.560295
2018,80,72.551895,54.560295
2019,80,73.113556,54.560295
2020,80,73.675217,56.0166395
2021,80,73.675217,57.472984
2022,80,73.675217,57.472984
2023,80,73.675217,57.472984
2024,80,74.1514055,57.472984
2025,80,74.627594,57.472984
2026,80,74.627594,58.614889
2027,80,74.627594,59.756794
2028,80,74.627594,59.756794
2029,80,75.286934,59.756794
2030,80,75.946274,59.756794
2031,80,75.946274,59.756794
2032,80,75.946274,60.369467
2033,80,76.4102555,60.98214
2034,80,76.874237,60.98214
2035,80,76.874237,60.98214
2036,80,76.874237,60.98214
2037,80,77.4603195,60.98214
2038,80,78.046402,61.1549875
2039,80,78.046402,61.327835
2040,80,78.046402,61.327835
2041,80,78.046402,61.327835
2042,80,78.68132,61.327835
2043,80,79.316238,61.327835
2044,80,79.316238,61.327835
2045,80,79.316238,61.327835
2046,80,79.316238,60.91795
2047,80,79.95116,60.91795
2048,80,80.586082,60.91795
2049,80,80.586082,60.91795
2050,80,80.586082,60.91795
2051,80,81.147743,60.238335
2052,80,81.709404,59.55872
2053,80,81.709404,59.55872
2054,80,81.709404,59.55872
2055,80,81.709404,59.55872
2056,80,82.2832755,59.55872
2057,80,82.857147,58.4720765
2058,80,82.857147,57.385433
2059,80,82.857147,57.385433
2060,80,83.431015,57.385433
2061,80,84.004883,57.385433
2062,80,84.004883,57.385433
2063,80,84.004883,57.385433
2064,80,84.004883,55.567854
2065,80,84.615383,53.750275
2066,80,85.225883,53.750275
2067,80,85.225883,53.750275
2068,80,85.225883,53.750275
2069,80,85.689865,53.750275
2070,80,86.153847,51.933283
2071,80,86.153847,50.116291
2072,80,86.153847,50.116291
2073,80,86.153847,50.116291
2074,80,86.6056175,50.116291
2075,80,87.057388,50.116291
2076,80,87.057388,46.097897
2077,80,87.057388,46.097897
2078,80,87.606838,46.097897
2079,80,88.156288,46.097897
2080,80,88.156288,46.097897
2081,80,88.156288,46.097897
2082,80,88.156288,43.444977
2083,80,88.4493295,40.792057
