tempo,SP,PV,MV
11100,80,83.125763,57.705677
11101,80,83.125763,56.606083
11102,80,83.125763,56.606083
11103,80,83.125763,56.606083
11104,80,83.785103,56.606083
11105,80,84.444443,56.606083
11106,80,84.444443,56.606083
11107,80,84.444443,54.921629
11108,80,84.981686,53.237175
11109,80,85.518929,53.237175
11110,80,85.518929,53.237175
11111,80,85.518929,53.237175
11112,80,85.518929,53.237175
11113,80,85.518929,53.237175
11114,80,85.518929,49.716671
11115,80,86.520149,49.716671
11116,80,86.520149,49.716671
11117,80,86.520149,49.716671
11118,80,87.0207595,49.716671
11119,80,87.52137,47.487383
11120,80,87.52137,45.258095
11121,80,87.52137,45.258095
11122,80,87.7777785,45.258095
11123,80,88.034187,45.258095
11124,80,88.034187,45.258095
11125,80,88.034187,45.258095
11126,80,88.034187,42.4977935
11127,80,88.485958,39.737492
11128,80,88.937729,39.737492
11129,80,88.937729,39.737492
11130,80,88.937729,39.737492
11131,80,88.937729,39.737492
11132,80,89.0964585,37.350674
11133,80,89.255188,34.963856
11134,80,89.255188,34.963856
11135,80,89.255188,34.963856
11136,80,89.438339,34.963856
11137,80,89.62149,34.963856
11138,80,89.62149,32.5059665
11139,80,89.62149,30.048077
11140,80,89.62149,30.048077
11141,80,89.56044,30.048077
11142,80,89.49939,30.048077
11143,80,89.49939,30.048077
11144,80,89.49939,30.048077
11145,80,89.49939,26.918418
11146,80,89.682541,23.788759
11147,80,89.865692,23.788759
11148,80,89.865692,23.788759
11149,80,89.865692,23.788759
11150,80,89.865692,23.788759
11151,80,89.6337015,21.556779
11152,80,89.401711,19.324799
11153,80,89.401711,19.324799
11154,80,89.401711,19.324799
11155,80,89.401711,19.324799
11156,80,89.3406605,19.324799
11157,80,89.27961,16.84123
11158,80,89.27961,14.357661
11159,80,89.1208805,14.357661
11160,80,88.962151,14.357661
11161,80,88.962151,14.357661
11162,80,88.962151,14.357661
11163,80,88.962151,12.0922515
11164,80,88.84005,9.826842
11165,80,88.717949,9.826842
11166,80,88.717949,9.826842
11167,80,88.717949,9.826842
11168,80,88.3516505,7.9978815
11169,80,87.985352,6.168921
11170,80,87.985352,6.168921
11171,80,87.985352,6.168921
11172,80,87.985352,6.168921
11173,80,87.985352,6.168921
11174,80,87.448112,6.168921
11175,80,87.448112,4.3256755
11176,80,87.448112,2.48243
11177,80,87.1062315,2.48243
11178,80,86.764351,2.48243
11179,80,86.764351,2.48243
11180,80,86.764351,1.2962915
11181,80,86.764351,0.110153
11182,80,86.336998,0.110153
11183,80,85.909645,0.110153
11184,80,85.909645,0.110153
11185,80,85.909645,0.110153
11186,80,85.909645,0.0550765
11187,80,85.445667,0
11188,80,84.981689,0
11189,80,84.981689,0
11190,80,84.981689,0
11191,80,84.981689,0
11192,80,84.603176,0
11193,80,84.224663,0
11194,80,84.224663,0
11195,80,84.224663,0
11196,80,83.8339425,0
11197,80,83.443222,0
11198,80,83.443222,0
11199,80,83.443222,0.019076
11200,80,83.443222,0.038152
11201,80,82.979244,0.038152
11202,80,82.515266,0.038152
11203,80,82.515266,0.038152
11204,80,82.515266,0.038152
11205,80,82.136753,0.038152
11206,80,81.75824,0.019515
11207,80,81.75824,0.000878
11208,80,81.75824,0.000878
11209,80,81.75824,0.000878
11210,80,81.2698405,0.000878
11211,80,80.781441,0.000878
11212,80,80.781441,0.15459
11213,80,80.781441,0.308302
11214,80,80.463982,0.308302
11215,80,80.146523,0.308302
11216,80,80.146523,0.308302
11217,80,80.146523,0.308302
11218,80,80.146523,0.6398625
11219,80,79.597073,0.971423
11220,80,79.047623,0.971423
11221,80,79.047623,0.971423
11222,80,79.047623,0.971423
11223,80,79.047623,0.971423
11224,80,78.595852,1.668029
11225,80,78.144081,2.364635
11226,80,78.144081,2.364635
11227,80,78.144081,2.364635
11228,80,77.716728,2.364635
11229,80,77.289375,2.364635
11230,80,77.289375,3.3750355
11231,80,77.289375,4.385436
11232,80,77.289375,4.385436
11233,80,76.849815,4.385436
11234,80,76.410255,4.385436
11235,80,76.410255,4.385436
11236,80,76.410255,5.5968735
11237,80,76.0805855,6.808311
11238,80,75.750916,6.808311
11239,80,75.750916,6.808311
11240,80,75.750916,6.808311
11241,80,75.750916,6.808311
11242,80,75.299145,8.3519965
11243,80,74.847374,9.895682
11244,80,74.847374,9.895682
11245,80,74.847374,9.895682
11246,80,74.505493,9.895682
11247,80,74.163612,9.895682
