Tempo,SP,PV_Ideal,Sinal_Controle_Ideal
10.8,40,32.8785104231251,38.5621353463752
10.9,40,32.9891317852571,38.5858121481055
11,40,33.0787823458813,38.624831182072
11.1,40,33.1802889852064,38.6527412468486
11.2,40,33.3020621826652,38.6624896939589
11.3,40,33.3975907104662,38.6917054203507
11.4,40,33.5119352861441,38.7040387952301
11.5,40,33.6159739992607,38.7229522407486
11.6,40,33.7313231934284,38.7309717143196
11.7,40,33.8109086563919,38.7663288054465
11.8,40,33.907075206086,38.7868823623939
11.9,40,33.9917433902638,38.8152799208074
12,40,34.1160470214434,38.8099802635206
12.1,40,34.2171633415051,38.8216125940072
12.2,40,34.3219902827141,38.8285991965165
12.3,40,34.4007504316007,38.8551790705017
12.4,40,34.4843144232038,38.8765788464479
12.5,40,34.5685894580784,38.896061387219
12.6,40,34.6651542758565,38.9041670645828
12.7,40,34.7463412364829,38.923276036298
12.8,40,34.8359958128314,38.9341764422139
12.9,40,34.8968308838872,38.9671590912271
13,40,34.9739254327663,38.9859006451995
13.1,40,35.0452138117105,39.0081465210568
13.2,40,35.1080712262904,39.0361314497722
13.3,40,35.1908813160536,39.0468292769048
13.4,40,35.270026030622,39.0591930887601
13.5,40,35.3453880384785,39.0733772738593
13.6,40,35.4060028749065,39.0983893587184
13.7,40,35.4902799474239,39.1031232215456
13.8,40,35.5652860458416,39.114073766078
13.9,40,35.6325957987702,39.1301044309548
14,40,35.7020777339407,39.1432856390754
14.1,40,35.7676242872897,39.1585664077996
14.2,40,35.8174411765707,39.1856338375496
14.3,40,35.8813077257121,39.2004396746251
14.4,40,35.9387998618218,39.2194251679481
14.5,40,35.9940658032922,39.2393073619192
14.6,40,36.0468767481069,39.2603085780977
14.7,40,36.1052243922635,39.2759468724962
14.8,40,36.1481814817213,39.3032102972224
14.9,40,36.220201748926,39.3060708554758
15,40,36.2864549912219,39.3124849817796
15.1,40,36.3461761106318,39.3231692684815
15.2,40,36.404780267897,39.333809458383
